"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Dentaria bulbifera","Cardamine bulbifera","iPlant_TNRS","1","Dentaria bulbifera","(L.) Crantz","http://www.tropicos.org/Name/4100089"
"Epipactis latifolia","Epipactis helleborine","iPlant_TNRS","1","Epipactis latifolia","(L.) Crantz","http://www.tropicos.org/Name/23502965"
"Ficaria verna","Ficaria verna","iPlant_TNRS","1","Ficaria verna","Huds.","http://www.tropicos.org/Name/27101265"
"Helleborus foetidus","","iPlant_TNRS","1","Helleborus foetidus","",""
"Helleborus viridis","Helleborus viridis","iPlant_TNRS","1","Helleborus viridis","L.","http://www.tropicos.org/Name/27100406"
"Iris foetidissima","Xyridion foetidissimum","iPlant_TNRS","1","Iris foetidissima","(L.) Klatt","http://www.tropicos.org/Name/100278232"
"Lamium galeobdolon","Polichia galeobdolon","iPlant_TNRS","1","Lamium galeobdolon","(L.) Willd.","http://www.tropicos.org/Name/17603618"
"Linnaea borealis","Linnaea borealis","iPlant_TNRS","1","Linnaea borealis","L.","http://www.tropicos.org/Name/6000003"
"Listera ovata","Listera ovata","iPlant_TNRS","1","Listera ovata","(L.) R. Br.","http://www.tropicos.org/Name/23500378"
"Luzula maxima","Luzula maxima","iPlant_TNRS","1","Luzula maxima","(Reichard) DC.","http://www.tropicos.org/Name/50265321"
"Mercurialis perennis","Synema perenne","iPlant_TNRS","1","Mercurialis perennis","(L.) Dulac","http://www.tropicos.org/Name/100263336"
"Narcissus pseudonarcissus","Narcissus pseudonarcissus","iPlant_TNRS","1","Narcissus pseudonarcissus","L.","http://www.tropicos.org/Name/1200055"
"Orchis mascula","Orchis mascula","iPlant_TNRS","1","Orchis mascula","L.","http://www.tropicos.org/Name/23500414"
"Oxalis acetosella","Oxalis acetosella","iPlant_TNRS","1","Oxalis acetosella","L.","http://www.tropicos.org/Name/23700003"
"Paris quadrifolia","Paris quadrifolia","iPlant_TNRS","1","Paris quadrifolia","L.","http://www.tropicos.org/Name/18400307"
"Phyteuma spicatum","Rapunculus spicatus","iPlant_TNRS","1","Phyteuma spicatum","(L.) Mill.","http://www.tropicos.org/Name/100250658"
"Polygonatum multiflorum","Polygonatum multiflorum","iPlant_TNRS","1","Polygonatum multiflorum","(L.) All.","http://www.tropicos.org/Name/18400312"
"Polygonatum officinale","Polygonatum odoratum","iPlant_TNRS","1","Polygonatum officinale","(Mill.) Druce","http://www.tropicos.org/Name/18400313"
"Polygonatum verticillatum","Polygonatum verticillatum","iPlant_TNRS","1","Polygonatum verticillatum","(L.) All.","http://www.tropicos.org/Name/18400314"
"Primula acaulis","","iPlant_TNRS","1","Primula acaulis","",""
"Pyrola minor","Pyrola minor","iPlant_TNRS","1","Pyrola minor","L.","http://www.tropicos.org/Name/26800025"
"Pyrola rotundifolia","Pyrola rotundifolia","iPlant_TNRS","1","Pyrola rotundifolia","L.","http://www.tropicos.org/Name/26800027"
"Sanicula europaea","Sanicula europaea","iPlant_TNRS","1","Sanicula europaea","L.","http://www.tropicos.org/Name/1700217"
