species,photo
Erysimum cheiri,c3
Erythraea capitata,c3
Erythraea pulchella,c3
Escallonia macrantha,c3
Escallonia rubra,c3
Euonymus europaeus,c3
Eupatorium cannabinum,c3
Euphorbia amygdaloides,c3
Euphorbia cyparissias,c3
Euphorbia dulcis,c3
Euphorbia esula,c3
Euphorbia exigua,c3
Euphorbia helioscopia,c3
Euphorbia hyberna,c3
Euphorbia paralias,c3
Euphorbia peplis,c3
Euphorbia peplus,c3
Euphorbia platyphyllos,c3
Euphorbia portlandica,c3
Euphorbia serrulata,c3
Euphorbia stricta,c3
Euphrasia anglica,c3
Euphrasia arctica,c3
Euphrasia cambrica,c3
Euphrasia campbelliae,c3
Euphrasia confusa,c3
Euphrasia foulaensis,c3
Euphrasia frigida,c3
Euphrasia heslop-harrisonii,c3
Euphrasia marshallii,c3
Euphrasia micrantha,c3
Euphrasia nemorosa,c3
Euphrasia occidentalis,c3
Euphrasia officinalis,c3
Euphrasia officinalis agg.,c3
Euphrasia officinalis subsp. anglica,c3
Euphrasia ostenfeldii,c3
Euphrasia pseudokerneri,c3
Euphrasia rivularis,c3
Euphrasia rostkoviana,c3
Euphrasia rotundifolia,c3
Euphrasia salisburgensis,c3
Euphrasia scottica,c3
Euphrasia tetraquetra,c3
Fagus sylvatica,c3
Falcatula ornithopodioides,c3
Fallopia convolvulus,c3
Fallopia dumetorum,c3
Fallopia japonica,c3
Fallopia sachalinensis,c3
Festuca altissima,c3
Festuca arenaria subsp. oraria,c3
Festuca arundinacea,c3
Festuca bastardii,c3
Festuca brevipila,c3
Festuca caesia,c3
Festuca diffusa,c3
Festuca elatior,c3
Festuca filiformis,c3
Festuca gigantea,c3
Festuca glauca,c3
Festuca guestfalica,c3
Festuca heteromalla,c3
Festuca heterophylla,c3
Festuca juncifolia,c3
Festuca lemanii,c3
Festuca longifolia,c3
Festuca nigrescens,c3
Festuca ophioliticola,c3
Festuca ovina,c3
Festuca pratensis,c3
Festuca richardsonii,c3
Festuca rubra,c3
Festuca rubra subsp. arenaria,c3
Festuca tenuifolia,c3
Festuca trachyphylla,c3
Festuca vivipara,c3
Ficaria verna,c3
Filaginella uliginosa,c3
Filago apiculata,c3
Filago germanica,c3
Filago lutescens,c3
Filago minima,c3
Filago pyramidata,c3
Filago spathulata,c3
Filago vulgaris,c3
Filipendula ulmaria,c3
Filipendula vulgaris,c3
Foeniculum vulgare,c3
Fragaria vesca,c3
Frangula alnus,c3
Frankenia laevis,c3
Fraxinus excelsior,c3
Fritillaria meleagris,c3
Fuchsia magellanica,c3
Fumaria bastardii,c3
Fumaria capreolata,c3
Fumaria densiflora,c3
Fumaria martinii,c3
Fumaria micrantha,c3
Fumaria muralis,c3
Fumaria occidentalis,c3
Fumaria officinalis,c3
Fumaria parviflora,c3
Fumaria purpurea,c3
Fumaria reuteri,c3
Fumaria vaillantii,c3
Gagea bohemica,c3
Gagea lutea,c3
Galanthus nivalis,c3
Galearia fragifera,c3
Galeobdolon luteum,c3
Galeopsis angustifolia,c3
Galeopsis bifida,c3
Galeopsis segetum,c3
Galeopsis speciosa,c3
Galeopsis tetrahit,c3
Galinsoga ciliata,c3
Galinsoga parviflora,c3
Galinsoga quadriradiata,c3
Galium aparine,c3
Galium boreale,c3
Galium constrictum,c3
Galium cruciata,c3
Galium debile,c3
Galium elongatum,c3
Galium mollugo,c3
Galium odoratum,c3
Galium palustre,c3
Galium parisiense,c3
Galium pumilum,c3
Galium saxatile,c3
Galium sterneri,c3
Galium uliginosum,c3
Galium verum,c3
Galium x pomeranicum = G. verum x G. mollugo,c3
Gastridium ventricosum,c3
Gaudinia fragilis,c3
Gaultheria mucronata,c3
Gaultheria shallon,c3
Genista anglica,c3
Genista pilosa,c3
Genista tinctoria,c3
Gentiana amarella,c3
Gentiana campestris,c3
Gentiana ciliata,c3
Gentiana germanica,c3
Gentiana nivalis,c3
Gentiana pneumonanthe,c3
Gentiana uliginosa,c3
Gentiana verna,c3
Gentianella amarella,c3
Gentianella anglica,c3
Gentianella campestris,c3
Gentianella ciliata,c3
Gentianella germanica,c3
Gentianella uliginosa,c3
Gentianopsis ciliata,c3
Geranium columbinum,c3
Geranium dissectum,c3
Geranium endressii,c3
Geranium lucidum,c3
Geranium molle,c3
Geranium phaeum,c3
Geranium purpureum,c3
Geranium pusillum,c3
Geranium pyrenaicum,c3
Geranium robertianum,c3
Geranium robertianum subsp. purpureum,c3
Geranium rotundifolium,c3
Geranium sanguineum,c3
Geranium sylvaticum,c3
Geranium versicolor,c3
Geum rivale,c3
Geum urbanum,c3
Gladiolus illyricus,c3
Glaucium flavum,c3
Glaux maritima,c3
Glebionis segetum,c3
Glechoma hederacea,c3
Glyceria declinata,c3
Glyceria fluitans,c3
Glyceria maxima,c3
Glyceria notata,c3
Glyceria plicata,c3
Glyceria x pedicellata = G. fluitans x G. notata,c3
Gnaphalium luteo-album,c3
Gnaphalium luteoalbum,c3
Gnaphalium norvegicum,c3
Gnaphalium supinum,c3
Gnaphalium sylvaticum,c3
Gnaphalium uliginosum,c3
Goodyera repens,c3
Groenlandia densa,c3
Gunnera tinctoria,c3
Gymnadenia conopsea,c3
Halimione pedunculata,c3
Halimione portulacoides,c3
Hammarbya paludosa,c3
Hebe elliptica,c3
Hebe salicifolia,c3
Hebe speciosa,c3
Hebe x franciscana,c3
Hedera helix,c3
Helianthemum apenninum,c3
Helianthemum canum,c3
Helianthemum chamaecistus,c3
Helianthemum nummularium,c3
Helictotrichon pratense,c3
Helictotrichon pubescens,c3
Helleborus foetidus,c3
Helleborus viridis,c3
Helminthotheca echioides,c3
Helxine soleirolii,c3
Heracleum mantegazzianum,c3
Heracleum sphondylium,c3
Herminium monorchis,c3
Herniaria ciliolata,c3
Herniaria glabra,c3
Hesperis matronalis,c3
Hieracium acuminatum,c3
Hieracium anglicum,c3
Hieracium argenteum,c3
Hieracium aurantiacum,c3
Hieracium britannicum,c3
Hieracium caesiomurorum,c3
Hieracium caledonicum,c3
Hieracium calenduliflorum,c3
Hieracium dewarii,c3
Hieracium diaphanoides,c3
Hieracium diaphanum,c3
Hieracium flagellare,c3
Hieracium grandidens,c3
Hieracium hanburyi,c3
Hieracium holosericeum,c3
Hieracium iricum,c3
Hieracium lachenalii,c3
Hieracium lasiophyllum,c3
Hieracium latobrigorum,c3
Hieracium maculatum,c3
Hieracium mirandum,c3
Hieracium oistophyllum,c3
Hieracium orcadense,c3
Hieracium paludosum,c3
Hieracium peleteranum,c3
Hieracium pellucidum,c3
Hieracium pilosella,c3
Hieracium prenanthoides,c3
Hieracium reticulatum,c3
Hieracium rigens,c3
Hieracium schmidtii,c3
Hieracium sciaphilum,c3
Hieracium senescens,c3
Hieracium sparsifolium,c3
Hieracium umbellatum,c3
Hieracium vagum,c3
Hieracium vulgatum,c3
Hierochloe odorata,c3
Himantoglossum hircinum,c3
Hippocrepis comosa,c3
Hippophae rhamnoides,c3
